#Parameters = {ln=0.4; res=0.01}
#"Frequency / GHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
0.24699999392033	-133.34539003258
0.24840000271797	-131.92390597146
0.24979999661446	-131.06903786808
0.25119999051094	-130.60048251097
0.25260001420975	-130.46998765241
0.25400000810623	-130.71405145678
0.25540000200272	-131.42501447267
0.25679999589920	-132.74941166927
0.25819998979568	-134.93622302815
0.25960001349449	-138.52437477535
0.26100000739098	-145.31228073543
0.26240000128746	-161.28936822437
0.26379999518394	-144.27058960157
0.26519998908043	-139.85042916183
0.26660001277924	-137.90315398740
0.26800000667572	-137.22046522371
0.26940000057220	-137.41450203177
0.27079999446869	-138.33368315445
0.27219998836517	-139.89961996895
0.27360001206398	-141.80769325924
0.27500000596046	-142.60893194074
0.27639999985695	-140.75431620027
0.27779999375343	-137.90866575866
0.27919998764992	-135.49589817707
0.28060001134872	-133.78106055620
0.28200000524521	-132.76678286776
0.28339999914169	-132.45608647093
0.28479999303818	-132.90892724650
0.28619998693466	-134.29092021344
0.28760001063347	-137.00985282248
0.28900000452995	-142.25546028791
0.29039999842644	-151.19978439208
0.29179999232292	-142.43145326479
0.29319998621941	-137.58048532056
0.29460000991821	-135.27640695114
0.29600000381470	-134.38641545829
0.29739999771118	-134.53738013300
0.29879999160767	-135.54989126621
0.30019998550415	-137.13851028738
0.30160000920296	-138.45864850393
0.30300000309944	-138.40428327013
0.30439999699593	-137.45292611047
0.30579999089241	-136.78465822768
0.30720001459122	-136.89879920095
0.30860000848770	-137.81276795398
0.31000000238419	-138.91791560909
0.31139999628067	-138.59190086411
0.31279999017715	-136.57565458261
0.31420001387596	-134.48788259709
0.31560000777245	-133.09971062526
0.31700000166893	-132.54939069967
0.31839999556541	-132.88424642647
0.31979998946190	-134.23982952330
0.32120001316071	-136.99458992846
0.32260000705719	-142.20484643423
0.32400000095367	-148.35221568880
0.32539999485016	-141.33811817991
0.32679998874664	-136.99727810734
0.32820001244545	-134.79979373246
0.32960000634193	-133.83368354669
0.33100000023842	-133.72306575496
0.33239999413490	-134.25354824330
0.33379998803139	-135.23112406351
0.33520001173019	-136.41792793008
0.33660000562668	-137.56936009145
0.33799999952316	-138.58829899466
0.33939999341965	-139.56122107768
0.34079998731613	-140.45232623926
0.34220001101494	-140.72384236767
0.34360000491142	-139.83497507343
0.34499999880791	-138.31762275581
0.34639999270439	-137.03015753117
0.34779998660088	-136.40329223197
0.34920001029968	-136.63665477122
0.35060000419617	-137.96261979758
0.35199999809265	-140.93662847526
0.35339999198914	-147.63038706987
0.35479998588562	-155.27809783420
0.35620000958443	-143.23523104159
0.35760000348091	-138.80834273285
0.35899999737740	-136.61726557281
0.36039999127388	-135.65617454879
0.36179998517036	-135.52501174751
0.36320000886917	-135.90983205544
0.36460000276566	-136.36967289512
0.36599999666214	-136.37684328575
0.36739999055862	-135.79118265509
0.36880001425743	-135.01120452669
0.37020000815392	-134.46885809389
0.37160000205040	-134.38401491932
0.37299999594688	-134.83239544010
0.37439998984337	-135.81699361354
0.37580001354218	-137.27250102037
0.37720000743866	-139.01302896720
0.37860000133514	-140.69329753597
0.37999999523163	-141.97970315834
0.38139998912811	-142.80827718870
0.38280001282692	-143.05718481143
0.38420000672340	-142.18420107474
0.38560000061989	-140.20532289812
0.38699999451637	-137.99358135551
0.38839998841286	-136.16515464981
0.38980001211166	-134.91294933785
0.39120000600815	-134.26617482750
0.39259999990463	-134.21719153640
0.39399999380112	-134.75342114301
0.39539998769760	-135.84054526961
0.39680001139641	-137.33735512460
0.39820000529289	-138.79732863514
0.39959999918938	-139.45360524579
0.40099999308586	-139.11082256088
0.40239998698235	-138.48766005231
0.40380001068115	-138.21795828238
0.40520000457764	-138.57665590207
0.40659999847412	-139.70507666681
0.40799999237061	-141.77173551528
0.40939998626709	-145.04486306545
0.41080000996590	-149.31317077911
0.41220000386238	-149.74590054264
0.41359999775887	-146.21184344105
0.41499999165535	-143.55199655224
0.41639998555183	-141.93131145771
0.41780000925064	-140.99393271266
0.41920000314713	-140.48185549911
0.42059999704361	-140.21024827804
0.42199999094009	-140.04545411927
0.42340001463890	-139.90501048876
0.42480000853539	-139.76356250013
0.42620000243187	-139.65064465467
0.42759999632835	-139.63721670494
0.42899999022484	-139.81889593588
0.43040001392365	-140.30594559875
0.43180000782013	-141.22529668193
0.43320000171661	-142.73465986346
0.43459999561310	-145.03203021734
0.43599998950958	-148.17457255467
0.43740001320839	-150.49295243136
0.43880000710487	-148.74439172794
0.44020000100136	-145.96976437370
0.44159999489784	-144.14724615775
0.44299998879433	-143.36198509483
0.44440001249313	-143.57667431418
0.44580000638962	-144.90532704705
0.44720000028610	-147.66713006792
0.44859999418259	-151.37721821588
0.44999998807907	-149.37057792807
0.45140001177788	-144.63947708440
